 # webanno.custom.INSTRUMENTO | Feature_Instrumento
#id=1
#text=João Salgueiro quer pôr desempregados portugueses a limpar as matas púbicas das mulheres do interior [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
1-1	João	_	
1-2	Salgueiro	_	
1-3	quer	_	
1-4	pôr	_	
1-5	desempregados	_	
1-6	portugueses	_	
1-7	a	_	
1-8	limpar	_	
1-9	as	_	
1-10	matas	_	
1-11	púbicas	_	
1-12	das	_	
1-13	mulheres	_	
1-14	do	_	
1-15	interior	_	
1-16	[	_	
1-17	[	_	
1-18	ANOTACAO_RECURSO_ESTILISTICO	Metáfora	
1-19	]	_	
1-20	]	_	

#id=2
#text=Governo indica árbitro do Benfica x Sporting para juiz do Constitucional [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
2-1	Governo	_	
2-2	indica	_	
2-3	árbitro	_	
2-4	do	_	
2-5	Benfica	_	
2-6	x	_	
2-7	Sporting	_	
2-8	para	_	
2-9	juiz	_	
2-10	do	_	
2-11	Constitucional	_	
2-12	[	_	
2-13	[	_	
2-14	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
2-15	]	_	
2-16	]	_	

#id=3
#text=Eurogrupo apenas deu a Portugal as mesmas condições que deu à Irlanda porque Vítor Gaspar vestiu-se de duende [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
3-1	Eurogrupo	_	
3-2	apenas	_	
3-3	deu	_	
3-4	a	_	
3-5	Portugal	_	
3-6	as	_	
3-7	mesmas	_	
3-8	condições	_	
3-9	que	_	
3-10	deu	_	
3-11	à	_	
3-12	Irlanda	_	
3-13	porque	_	
3-14	Vítor	_	
3-15	Gaspar	_	
3-16	vestiu-se	_	
3-17	de	_	
3-18	duende	_	
3-19	[	_	
3-20	[	_	
3-21	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
3-22	]	_	
3-23	]	_	

#id=4
#text=Troika alerta que dívida pública está nas mãos de especuladores e do Vítor Gaspar [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
4-1	Troika	_	
4-2	alerta	_	
4-3	que	_	
4-4	dívida	_	
4-5	pública	_	
4-6	está	_	
4-7	nas	_	
4-8	mãos	_	
4-9	de	_	
4-10	especuladores	_	
4-11	e	_	
4-12	do	_	
4-13	Vítor	_	
4-14	Gaspar	_	
4-15	[	_	
4-16	[	_	
4-17	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
4-18	]	_	
4-19	]	_	

#id=5
#text=PSD pondera convidar José Oliveira e Costa para ser candidato autárquico [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
5-1	PSD	_	
5-2	pondera	_	
5-3	convidar	_	
5-4	José	_	
5-5	Oliveira	_	
5-6	e	_	
5-7	Costa	_	
5-8	para	_	
5-9	ser	_	
5-10	candidato	_	
5-11	autárquico	_	
5-12	[	_	
5-13	[	_	
5-14	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
5-15	]	_	
5-16	]	_	

#id=6
#text=Milionários portugueses oferecem prémio a quem inventar o coito interrompido do futuro [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
6-1	Milionários	_	
6-2	portugueses	_	
6-3	oferecem	_	
6-4	prémio	_	
6-5	a	_	
6-6	quem	_	
6-7	inventar	_	
6-8	o	_	
6-9	coito	_	
6-10	interrompido	_	
6-11	do	_	
6-12	futuro	_	
6-13	[	_	
6-14	[	_	
6-15	ANOTACAO_RECURSO_ESTILISTICO	Outro	
6-16	]	_	
6-17	]	_	

#id=7
#text=Luso-descendente Ernest Moniz vai 'grandolar ' dirigentes do Partido Republicano [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
7-1	Luso-descendente	_	
7-2	Ernest	_	
7-3	Moniz	_	
7-4	vai	_	
7-5	'grandolar	_	
7-6	'	_	
7-7	dirigentes	_	
7-8	do	_	
7-9	Partido	_	
7-10	Republicano	_	
7-11	[	_	
7-12	[	_	
7-13	ANOTACAO_RECURSO_ESTILISTICO	Sem Evidência	
7-14	]	_	
7-15	]	_	

#id=8
#text=O Sexto Sentido : Mário Soares diz que “ I talk with dead people para derrubar o Governo “ [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
8-1	O	_	
8-2	Sexto	_	
8-3	Sentido	_	
8-4	:	_	
8-5	Mário	_	
8-6	Soares	_	
8-7	diz	_	
8-8	que	_	
8-9	“	_	
8-10	I	_	
8-11	talk	_	
8-12	with	_	
8-13	dead	_	
8-14	people	_	
8-15	para	_	
8-16	derrubar	_	
8-17	o	_	
8-18	Governo	_	
8-19	“	_	
8-20	[	_	
8-21	[	_	
8-22	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
8-23	]	_	
8-24	]	_	

#id=9
#text=Plano B do Governo é pedir ao José Milhazes para pedir dinheiro à Rússia [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
9-1	Plano	_	
9-2	B	_	
9-3	do	_	
9-4	Governo	_	
9-5	é	_	
9-6	pedir	_	
9-7	ao	_	
9-8	José	_	
9-9	Milhazes	_	
9-10	para	_	
9-11	pedir	_	
9-12	dinheiro	_	
9-13	à	_	
9-14	Rússia	_	
9-15	[	_	
9-16	[	_	
9-17	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole|Imparidade	
9-18	]	_	
9-19	]	_	

#id=10
#text=Passos Coelho já prepara futuro programa na RTP [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
10-1	Passos	_	
10-2	Coelho	_	
10-3	já	_	
10-4	prepara	_	
10-5	futuro	_	
10-6	programa	_	
10-7	na	_	
10-8	RTP	_	
10-9	[	_	
10-10	[	_	
10-11	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
10-12	]	_	
10-13	]	_	

#id=11
#text=Alberto João Jardim perguntou ao António Mexia se a Galp não quer resgatar a Madeira [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
11-1	Alberto	_	
11-2	João	_	
11-3	Jardim	_	
11-4	perguntou	_	
11-5	ao	_	
11-6	António	_	
11-7	Mexia	_	
11-8	se	_	
11-9	a	_	
11-10	Galp	_	
11-11	não	_	
11-12	quer	_	
11-13	resgatar	_	
11-14	a	_	
11-15	Madeira	_	
11-16	[	_	
11-17	[	_	
11-18	ANOTACAO_RECURSO_ESTILISTICO	Imparidade|Outro	
11-19	]	_	
11-20	]	_	

#id=12
#text=Nuno Rogeiro acha que em jovem Margaret Thatcher era muito mais linda que Sara Montiel [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
12-1	Nuno	_	
12-2	Rogeiro	_	
12-3	acha	_	
12-4	que	_	
12-5	em	_	
12-6	jovem	_	
12-7	Margaret	_	
12-8	Thatcher	_	
12-9	era	_	
12-10	muito	_	
12-11	mais	_	
12-12	linda	_	
12-13	que	_	
12-14	Sara	_	
12-15	Montiel	_	
12-16	[	_	
12-17	[	_	
12-18	ANOTACAO_RECURSO_ESTILISTICO	Imparidade	
12-19	]	_	
12-20	]	_	

#id=13
#text=PPP do jantar dos 40 anos do PS coloca pão e azeitonas ao preço do lavagante [ [ ANOTACAO_RECURSO_ESTILISTICO ] ]
13-1	PPP	_	
13-2	do	_	
13-3	jantar	_	
13-4	dos	_	
13-5	40	_	
13-6	anos	_	
13-7	do	_	
13-8	PS	_	
13-9	coloca	_	
13-10	pão	_	
13-11	e	_	
13-12	azeitonas	_	
13-13	ao	_	
13-14	preço	_	
13-15	do	_	
13-16	lavagante	_	
13-17	[	_	
13-18	[	_	
13-19	ANOTACAO_RECURSO_ESTILISTICO	Hipérbole	
